kanji_idx,z1,z2,recon_error
1,-0.502176292121457,-0.6123920633650651,0.021433683206993424
2,3.059362801968447,-1.4049302418845553,0.01652477292878247
3,0.3264008969632261,1.7033277333541033,0.3448816692442191
4,-2.2805608020352444,0.8022932987024287,0.14982101651325627
5,0.42787423697946064,-1.1031312407535077,3.687959494622538
6,0.9700747981677369,1.6628799088173014,0.34287822109039384
7,0.16581262951255765,-0.03608468909810246,0.43740941442853143
8,-2.3442269337605257,-0.5664764471749534,0.45509511339388686
9,-1.02934372406502,-0.9603786713689226,0.016163166633976662
10,-0.34703922768646994,-1.3983406535560488,0.26158479072770624
11,-1.4321147181030758,2.1477033013702753,0.18802018207996107
12,1.901395608318755,0.8705174867343657,1.3266983626694384
13,1.5680948118437021,-0.3249427167272262,0.021988890710680636
14,0.6163244179668093,-1.7460821360244454,1.6175725184475993
15,1.3802919632275177,-1.3160736973827918,0.13914124742401401
16,0.25235183870802225,-2.764700144804683,0.018394174984280812
17,1.5925784992124918,-2.551336371572175,0.00017036667185545536
18,-1.4132344241851234,0.15684038797551245,0.41323107944225174
19,1.609584832699711,0.8112334159965119,0.4891288353639247
20,2.9045621254809415,0.7484468820716287,0.011859654417073092
21,1.0478982345653958,0.5362783842822508,0.5567785096604887
22,-3.4028025122868497,0.19195914481358078,0.17582023010247172
23,0.41692988839009354,-0.4008185530178703,0.2569207243439493
24,-1.7424296710606795,1.3057646588731235,0.08887684462869985
25,0.10530877733830664,0.9519864048466822,0.22136860230157945
26,0.6628132995949313,2.7498404028110897,0.0005805628292409062
27,0.3632275724701338,0.4318200586425088,0.16459917002313884
28,0.7860450164830245,0.05530804549340844,0.061583942209376345
29,-0.9803553284791288,0.5990701698629609,0.6636097504257658
30,-0.2736485230373513,0.2238964711178601,0.1999123027861694
31,-0.6039387611810524,2.169163393463615,0.05316055473198977
32,-0.7039593341021798,1.1266363852208225,0.08397867939851472
